Job ID: 1.5.18.5702956011984257026 
Case: 2015-TEST-CASE (TEST) 
Appliance: www.dummysite.co.uk 
29/01/2016 13:57:21   Starting scheduled job: 2015-TEST-CASE (TEST) : Process documents from "Batch_Test_0001" in batch "Batch_Test_0001".
01/02/2016 11:50:17   www.dummysite.co.uk Indexer           Processed 82,531 documents (241.18 GB)
01/02/2016 12:36:23   www.dummysite.co.uk Indexer           Processed 83,050 documents (243.27 GB)
01/02/2016 13:09:35   www.dummysite.co.uk Indexer           Processed 83,574 documents (245.14 GB)
01/02/2016 13:45:51   www.dummysite.co.uk Indexer           Processed 84,088 documents (247.25 GB)
01/02/2016 14:16:21   www.dummysite.co.uk Indexer           Processed 84,589 documents (249.11 GB)
01/02/2016 14:46:23   www.dummysite.co.uk Indexer           Processed 85,100 documents (251.06 GB)
01/02/2016 15:16:53   www.dummysite.co.uk Indexer           Processed 85,624 documents (252.87 GB)
01/02/2016 15:46:25   www.dummysite.co.uk Indexer           Processed 86,126 documents (254.68 GB)
01/02/2016 16:23:29   www.dummysite.co.uk Indexer           Processed 86,630 documents (256.55 GB)
01/02/2016 17:06:09   www.dummysite.co.uk Indexer           Processed 87,132 documents (258.69 GB)
01/02/2016 18:00:14   www.dummysite.co.uk Indexer           Processed 87,652 documents (260.74 GB)
01/02/2016 18:42:09   www.dummysite.co.uk Indexer           Processed 88,169 documents (262.74 GB)
01/02/2016 19:27:58   www.dummysite.co.uk Indexer           Processed 88,721 documents (264.64 GB)
01/02/2016 20:06:40   www.dummysite.co.uk Indexer           Processed 89,236 documents (266.69 GB)
01/02/2016 20:49:15   www.dummysite.co.uk Indexer           Processed 89,753 documents (268.79 GB)
01/02/2016 21:43:47   www.dummysite.co.uk Indexer           Processed 90,274 documents (271.14 GB)
01/02/2016 23:06:59   www.dummysite.co.uk Indexer           Processed 90,783 documents (273.27 GB)
01/02/2016 23:28:10   www.dummysite.co.uk Indexer           Processed 91,299 documents (275.13 GB)
01/02/2016 23:51:46   www.dummysite.co.uk Indexer           Processed 91,810 documents (277.31 GB)
02/02/2016 00:18:03   www.dummysite.co.uk Indexer           Processed 92,319 documents (279.38 GB)
02/02/2016 00:43:12   www.dummysite.co.uk Indexer           Processed 92,917 documents (280.83 GB)
02/02/2016 00:53:15   www.dummysite.co.uk Indexer           Processed 93,680 documents (281.32 GB)
02/02/2016 00:55:05   www.dummysite.co.uk Indexer           Processed 94,213 documents (281.56 GB)
02/02/2016 00:56:56   www.dummysite.co.uk Indexer           Processed 94,718 documents (281.92 GB)
02/02/2016 01:01:07   www.dummysite.co.uk Indexer           Processed 95,334 documents (282.33 GB)
02/02/2016 01:08:40   www.dummysite.co.uk Indexer           Processed 95,865 documents (282.73 GB)
02/02/2016 01:10:01   www.dummysite.co.uk Indexer           Processed 96,433 documents (282.98 GB)
02/02/2016 01:11:21   www.dummysite.co.uk Indexer           Processed 97,382 documents (283.26 GB)
02/02/2016 01:12:53   www.dummysite.co.uk Indexer           Processed 98,029 documents (283.53 GB)
02/02/2016 01:14:33   www.dummysite.co.uk Indexer           Processed 98,553 documents (283.80 GB)
02/02/2016 01:22:05   www.dummysite.co.uk Indexer           Processed 99,228 documents (284.07 GB)
02/02/2016 01:23:56   www.dummysite.co.uk Indexer           Processed 99,834 documents (284.34 GB)
02/02/2016 01:27:17   www.dummysite.co.uk Indexer           Processed 100,415 documents (284.72 GB)
02/02/2016 01:37:40   www.dummysite.co.uk Indexer           Processed 101,011 documents (285.11 GB)
